latitude,longitude,name,color
33.97423561,-81.0447225023,,#FFF00
33.9740238526,-81.0444671209,,#FFF00
33.9737415093,-81.0442117394,,#FFF00
33.9735297519,-81.0439563579,,#FFF00
33.9735297519,-81.0439563579,,#FFF00
33.9732474087,-81.0437009764,,#FFF00
33.9730003583,-81.0434881586,,#FFF00
33.9727180151,-81.0431902135,,#FFF00
33.9725062576,-81.042934832,,#FFF00
33.9725062576,-81.042934832,,#FFF00
33.9722239144,-81.0426794506,,#FFF00
33.9720474499,-81.0424666327,,#FFF00
33.9719062783,-81.0423815055,,#FFF00
33.9717298137,-81.042126124,,#FFF00
33.971623935,-81.0420835604,,#FFF00
33.9714827634,-81.0419558697,,#FFF00
33.9713768847,-81.0419558697,,#FFF00
33.9713768847,-81.0419558697,,#FFF00
33.9712357131,-81.041828179,,#FFF00
33.9711298343,-81.0417430518,,#FFF00
33.9709886627,-81.0415302339,,#FFF00
33.9708121982,-81.0414876703,,#FFF00
33.9706710266,-81.0412748524,,#FFF00
33.9705298549,-81.0412322889,,#FFF00
33.970494562,-81.0412322889,,#FFF00
33.9703533904,-81.0410620345,,#FFF00
33.9702475117,-81.041019471,,#FFF00
33.9700710472,-81.0408066531,,#FFF00
33.9699298755,-81.0407640895,,#FFF00
33.9697887039,-81.0405938352,,#FFF00
33.9696828252,-81.0405512716,,#FFF00
33.9695063607,-81.0403810173,,#FFF00
33.9695063607,-81.0403810173,,#FFF00
33.9693651891,-81.0402958901,,#FFF00
33.9691887245,-81.0401256358,,#FFF00
33.9690475529,-81.0400405086,,#FFF00
33.9688710884,-81.0398276907,,#FFF00
33.9685887451,-81.0396574364,,#FFF00
33.9683416948,-81.0394446185,,#FFF00
33.9681299374,-81.0392743642,,#FFF00
33.9679181799,-81.0391041099,,#FFF00
33.9677064225,-81.0389338556,,#FFF00
33.9674240793,-81.0386784741,,#FFF00
33.9674240793,-81.038593347,,#FFF00
33.9677417154,-81.0388487284,,#FFF00
33.9679534728,-81.0390189827,,#FFF00
33.9681652303,-81.0391892371,,#FFF00
33.9683769877,-81.0393594914,,#FFF00
33.968624038,-81.0395723093,,#FFF00
33.9689063813,-81.0397425636,,#FFF00
33.9690828458,-81.0399553815,,#FFF00
33.9692240174,-81.0400830722,,#FFF00
33.969400482,-81.0402533265,,#FFF00
33.9695416536,-81.0403384537,,#FFF00
33.9695416536,-81.0403384537,,#FFF00
33.9697181181,-81.0404661444,,#FFF00
33.9698239968,-81.0405512716,,#FFF00
33.9699651685,-81.0406789623,,#FFF00
33.9701063401,-81.0407640895,,#FFF00
33.9702828046,-81.0409343438,,#FFF00
